village,lon,lat,snap_m,built_ha,elong,compact,elev_m,relief_m,slope_deg,southness,ns_asym_m,tsvf,forest_ring_pct,water_mean_m,water_min_m,built_fd_ha,elong_fd,compact_fd,lst_abs,dlst_v1,dlst_v1_lo,dlst_v1_hi,dlst_v1_n,dlst_v1_sig,dlst_v2,dlst_v2_lo,dlst_v2_hi,dlst_v2_n,dlst_v2_sig,dlst_v3m,dlst_v3m_lo,dlst_v3m_hi,dlst_v3m_n,dlst_v3m_sig,cov85_4p,cov95_4p,rsrp_mean_4p,rsrp_p10_4p,cov85_4p_sd,cov85_4p_f07,cov95_4p_f07,rsrp_mean_4p_f07,rsrp_p10_4p_f07,cov85_4p_f07_sd
Xiongcun 雄村,118.43321,29.82146,418.0,48.25,1.12,0.17,121.6,149,5.7,0.201,13.7,0.994,61.5,302.0,10.0,9.26,1.739,0.0281,39.26,5.06,4.04,6.01,6,True,6.9,6.21,7.52,6,True,1.73,1.35,2.08,6,True,99.5,100.0,-75.18,-78.47,1.0,99.5,100.0,-68.47,-73.65,1.0
Xucun 许村,118.32063,30.00146,517.0,21.63,1.39,0.14,189.2,196,3.1,0.32,14.8,0.991,60.7,1881.0,1051.0,11.3,1.574,0.0681,33.41,0.23,-2.04,2.02,9,False,1.27,-2.48,4.13,9,False,-0.04,-1.69,1.02,9,False,100.0,100.0,-74.4,-76.45,0.0,100.0,100.0,-67.15,-70.47,0.0
Zhanqi 瞻淇,118.51714,29.87485,184.0,67.67,3.61,0.19,127.6,271,6.2,0.247,-23.7,0.984,79.1,2220.0,1620.0,19.55,2.034,0.0379,38.41,4.15,3.63,4.63,6,True,7.32,6.4,8.19,6,True,1.83,1.49,2.12,6,True,92.15,96.25,-78.15,-84.58,9.95,93.05,97.98,-72.0,-81.15,10.21
Changxi 昌溪,118.64396,29.91287,80.0,41.87,3.68,0.18,120.6,248,7.5,0.009,16.3,0.976,76.1,157.0,10.0,19.1,3.483,0.0837,38.1,4.09,3.71,4.45,6,True,7.22,6.38,7.98,6,True,2.11,1.83,2.34,6,True,82.9,97.78,-77.22,-83.0,22.36,97.55,99.42,-69.78,-77.85,2.12
Shitan 石潭,118.66476,29.9372,78.0,11.55,2.97,0.03,152.1,362,11.6,0.178,-3.3,0.932,89.3,454.0,32.0,5.54,1.703,0.0825,36.31,0.05,-0.6,0.66,9,False,1.76,0.51,2.95,8,True,-0.82,-1.68,-0.04,9,False,85.82,86.25,-78.9,-86.58,23.97,86.25,100.0,-71.38,-80.97,24.2
Zuyuan 祖源,118.0306,29.662,,,,,386.1,477,17.4,-0.007,-132.3,0.928,,,,0.19,2.369,0.1294,32.1,0.56,0.45,0.66,6,True,,,,0,False,0.96,0.83,1.1,6,True,63.62,90.15,-79.4,-91.88,34.91,90.18,100.0,-69.95,-81.75,15.71
Mulihong 木梨硔,118.0017,29.6483,,,,,337.1,430,25.8,0.518,64.4,0.899,,,,0.0,,,31.22,0.03,-0.13,0.2,6,False,,,,0,False,0.33,0.15,0.54,6,True,59.82,87.88,-82.78,-94.62,17.89,78.03,98.5,-76.35,-87.93,12.7
Longchuan 龙川,118.66749,30.07791,432.0,36.75,2.42,0.15,190.2,275,4.0,0.261,7.9,0.986,61.9,209.0,10.0,17.59,1.93,0.0464,36.92,2.37,1.6,3.08,8,True,3.49,2.01,5.03,8,True,0.87,0.61,1.15,8,True,99.12,100.0,-76.53,-79.28,1.03,100.0,100.0,-70.35,-74.55,0.0
Renli 仁里,118.37129,29.97276,38.0,9.41,3.61,0.02,246.9,373,11.5,0.147,72.0,0.973,90.4,2234.0,1065.0,4.6,1.554,0.0338,33.7,1.16,-0.48,2.75,9,False,,,,0,False,1.49,0.24,2.64,8,True,84.32,85.3,-75.95,-79.97,31.35,84.32,100.0,-66.62,-71.03,31.35
Shangzhuang 上庄,118.43675,30.12547,237.0,83.95,2.35,0.3,283.3,150,3.0,0.112,-9.6,0.985,37.8,909.0,10.0,29.25,2.124,0.0667,38.24,4.0,3.1,4.87,9,True,5.21,3.83,6.48,9,True,2.59,1.98,3.18,9,True,100.0,100.0,-74.53,-76.15,0.0,100.0,100.0,-67.72,-69.82,0.0
Kantou 磡头,118.81129,30.23962,2.0,23.72,1.71,0.09,278.4,291,7.8,-0.391,-39.6,0.978,61.4,2324.0,1050.0,13.36,1.285,0.0252,37.02,2.81,2.5,3.06,6,True,5.71,5.18,6.22,6,True,1.68,1.32,2.06,6,True,97.0,100.0,-78.0,-82.52,2.58,98.82,100.0,-72.7,-79.53,1.91
Lixi 历溪,117.50657,29.90047,5.0,47.64,1.48,0.26,122.5,222,6.0,0.256,-10.4,0.982,86.0,335.0,10.0,23.79,1.827,0.0351,37.26,4.27,3.07,5.03,12,True,7.26,6.78,7.73,11,True,1.88,0.94,2.55,12,True,94.2,98.3,-77.1,-81.9,5.67,97.3,99.8,-71.1,-77.88,2.84
Zhukou 渚口,117.48406,29.85406,62.0,32.77,5.43,0.1,113.5,284,9.4,-0.096,-27.8,0.971,97.2,1255.0,54.0,14.27,2.434,0.0535,34.57,2.72,2.17,3.18,13,True,7.3,6.77,7.86,11,True,1.34,0.78,1.79,13,True,95.1,96.55,-78.53,-82.32,2.74,96.4,99.82,-72.95,-79.15,3.28
Huansha 环砂,117.51296,29.93477,5.0,5.59,2.26,0.01,138.8,339,5.2,0.158,-23.7,0.972,89.2,2234.0,1537.0,2.55,2.343,0.0381,34.19,1.27,0.34,1.88,12,True,,,,0,False,-0.28,-1.41,0.38,12,False,95.98,96.78,-77.47,-81.03,4.07,96.78,100.0,-71.32,-77.2,4.57
