village,cov85,cov95,rsrp_mean,rsrp_p10,n_sites,n_tgt,phase
Kantou 磡头,94.0,100.0,-78.3,-83.3,22,149,p0_1250
Lixi 历溪,98.1,99.6,-79.0,-80.5,46,268,p0_1250
Zhukou 渚口,96.1,99.3,-79.8,-81.8,41,153,p0_1250
Huansha 环砂,96.8,100.0,-75.7,-84.7,46,31,p0_1250
Hongcun 宏村,100.0,100.0,-78.0,-80.5,53,365,p1250_1250
Xidi 西递,100.0,100.0,-73.0,-74.9,48,159,p1250_1250
Lucun 卢村,100.0,100.0,-70.4,-71.9,50,83,p1250_1250
Pingshan 屏山,100.0,100.0,-77.6,-80.1,51,220,p1250_1250
Nanping 南屏,100.0,100.0,-75.8,-77.6,52,160,p1250_1250
Guanlu 关麓,100.0,100.0,-73.0,-74.5,50,54,p1250_1250
Tachuan 塔川,93.9,100.0,-64.4,-75.1,50,33,p1250_1250
Bishan 碧山,99.4,100.0,-74.4,-77.6,53,310,p1250_1250
Chengkan 呈坎,100.0,100.0,-75.0,-79.0,51,192,p1250_1250
Tangmo 唐模,99.4,100.0,-76.9,-82.3,49,179,p1250_1250
Shuyuan 蜀源,90.7,90.7,-75.7,-81.6,48,75,p1250_1250
Lingshan 灵山,84.8,84.8,-80.0,-98.3,50,33,p1250_1250
Qiankou 潜口,99.7,100.0,-73.7,-76.6,51,333,p1250_1250
Yuliang 渔梁,98.1,99.7,-74.8,-80.2,50,631,p1250_1250
Tangyue 棠樾,98.3,100.0,-77.5,-78.6,48,175,p1250_1250
Xiongcun 雄村,100.0,100.0,-74.4,-77.3,49,102,p1250_1250
Xucun 许村,100.0,100.0,-77.3,-80.1,49,209,p1250_1250
Zhanqi 瞻淇,99.1,99.1,-72.4,-82.1,52,220,p1250_1250
Changxi 昌溪,98.1,98.1,-76.6,-77.4,49,215,p1250_1250
Shitan 石潭,50.0,50.0,-87.9,-102.2,50,60,p1250_1250
Zuyuan 祖源,81.8,90.9,-76.3,-92.8,46,33,p1250_1250
Mulihong 木梨硔,54.5,72.7,-85.2,-105.3,40,33,p1250_1250
Longchuan 龙川,100.0,100.0,-73.5,-74.8,52,200,p1250_1250
Renli 仁里,100.0,100.0,-71.5,-73.8,49,51,p1250_1250
Shangzhuang 上庄,100.0,100.0,-65.5,-68.6,51,324,p1250_1250
Kantou 磡头,98.0,100.0,-75.8,-81.3,25,149,p1250_1250
Lixi 历溪,88.8,94.0,-78.8,-87.1,45,268,p1250_1250
Zhukou 渚口,98.0,99.3,-78.3,-83.0,40,153,p1250_1250
Huansha 环砂,100.0,100.0,-76.0,-78.2,44,31,p1250_1250
