village,cov85,cov95,rsrp_mean,rsrp_p10,n_sites,n_tgt
Hongcun 宏村,100.0,100.0,-71.2,-75.9,52,365
Xidi 西递,99.4,100.0,-70.5,-73.0,53,159
Lucun 卢村,100.0,100.0,-68.5,-82.8,52,83
Pingshan 屏山,100.0,100.0,-50.7,-54.3,49,220
Nanping 南屏,100.0,100.0,-71.1,-72.9,51,160
Guanlu 关麓,100.0,100.0,-63.8,-66.1,50,54
Tachuan 塔川,100.0,100.0,-62.1,-67.0,51,33
Bishan 碧山,100.0,100.0,-70.9,-73.2,52,310
Chengkan 呈坎,99.5,100.0,-71.1,-73.7,51,192
Tangmo 唐模,100.0,100.0,-55.2,-57.6,48,179
Shuyuan 蜀源,90.7,100.0,-67.7,-69.2,49,75
Lingshan 灵山,63.6,90.9,-83.1,-94.6,50,33
Qiankou 潜口,99.7,100.0,-68.5,-72.8,51,333
Yuliang 渔梁,100.0,100.0,-62.6,-79.2,48,631
Tangyue 棠樾,100.0,100.0,-58.9,-65.2,48,175
Xiongcun 雄村,100.0,100.0,-60.8,-73.3,48,102
Xucun 许村,100.0,100.0,-70.4,-71.9,49,209
Zhanqi 瞻淇,94.5,95.5,-74.3,-81.9,50,220
Changxi 昌溪,100.0,100.0,-67.2,-79.8,48,215
Shitan 石潭,98.3,100.0,-70.7,-76.4,50,60
Zuyuan 祖源,66.7,100.0,-81.4,-86.9,49,33
Mulihong 木梨硔,81.8,100.0,-70.5,-86.4,43,33
Longchuan 龙川,100.0,100.0,-74.1,-77.4,49,200
Renli 仁里,37.3,100.0,-81.9,-89.3,51,51
Shangzhuang 上庄,100.0,100.0,-73.4,-74.6,51,324
Kantou 磡头,100.0,100.0,-70.5,-79.2,22,149
Lixi 历溪,100.0,100.0,-62.3,-68.2,45,268
Zhukou 渚口,92.2,100.0,-72.9,-81.8,41,153
Huansha 环砂,96.8,100.0,-73.5,-79.1,47,31
