village,cov85,cov95,rsrp_mean,rsrp_p10,n_sites,n_tgt
Hongcun 宏村,100.0,100.0,-61.8,-66.8,49,365
Xidi 西递,100.0,100.0,-72.3,-74.9,50,159
Lucun 卢村,100.0,100.0,-73.3,-74.9,50,83
Pingshan 屏山,100.0,100.0,-71.4,-73.3,49,220
Nanping 南屏,100.0,100.0,-71.5,-73.5,51,160
Guanlu 关麓,100.0,100.0,-70.8,-73.0,54,54
Tachuan 塔川,100.0,100.0,-70.0,-73.0,52,33
Bishan 碧山,100.0,100.0,-70.5,-73.3,52,310
Chengkan 呈坎,100.0,100.0,-69.3,-73.6,49,192
Tangmo 唐模,100.0,100.0,-69.1,-72.0,50,179
Shuyuan 蜀源,96.0,100.0,-68.4,-70.6,47,75
Lingshan 灵山,100.0,100.0,-68.6,-79.8,49,33
Qiankou 潜口,100.0,100.0,-60.6,-67.8,49,333
Yuliang 渔梁,86.5,100.0,-74.1,-85.5,49,631
Tangyue 棠樾,100.0,100.0,-61.5,-64.1,48,175
Xiongcun 雄村,98.0,100.0,-72.0,-74.0,49,102
Xucun 许村,100.0,100.0,-64.9,-67.9,50,209
Zhanqi 瞻淇,78.2,96.4,-79.2,-90.3,50,220
Changxi 昌溪,97.2,100.0,-70.0,-82.3,49,215
Shitan 石潭,96.7,100.0,-72.5,-76.9,48,60
Zuyuan 祖源,100.0,100.0,-65.1,-81.0,48,33
Mulihong 木梨硔,90.9,97.0,-78.4,-82.4,44,33
Longchuan 龙川,100.0,100.0,-66.7,-71.1,51,200
Renli 仁里,100.0,100.0,-62.6,-66.7,52,51
Shangzhuang 上庄,100.0,100.0,-74.0,-75.7,51,324
Kantou 磡头,100.0,100.0,-77.8,-80.4,20,149
Lixi 历溪,97.8,100.0,-74.2,-82.2,45,268
Zhukou 渚口,95.4,100.0,-70.2,-75.9,41,153
Huansha 环砂,90.3,100.0,-73.1,-74.6,48,31
