village,overpass_date,variant,dlst,n_core,n_ring,core_lst
Kantou 磡头,2024-08-25,V3,2.481,80,80,39.11
Kantou 磡头,2025-08-28,V3,1.406,80,80,40.14
Kantou 磡头,2025-06-17,V3,1.116,80,80,33.91
Lixi 历溪,2019-09-13,V1,5.888,79,913,42.8
Lixi 历溪,2019-09-29,V1,4.523,79,913,36.81
Lixi 历溪,2021-09-18,V1,4.838,79,913,35.84
Lixi 历溪,2024-08-25,V1,5.013,79,913,41.95
Lixi 历溪,2025-08-28,V1,4.893,79,913,40.09
Lixi 历溪,2020-09-06,V1,4.945,79,913,36.72
Lixi 历溪,2022-08-11,V1,3.748,50,470,35.49
Lixi 历溪,2024-09-01,V1,4.864,79,884,40.64
Lixi 历溪,2025-06-17,V1,4.479,79,857,35.6
Lixi 历溪,2024-08-08,V1,-1.866,12,636,21.66
Lixi 历溪,2024-09-09,V1,4.945,79,913,39.51
Lixi 历溪,2025-08-27,V1,4.978,79,913,40.0
Lixi 历溪,2019-09-13,V2,8.711,20,913,45.63
Lixi 历溪,2019-09-29,V2,6.418,20,913,38.7
Lixi 历溪,2021-09-18,V2,7.223,20,913,38.22
Lixi 历溪,2024-08-25,V2,7.652,20,913,44.59
Lixi 历溪,2025-08-28,V2,7.504,20,913,42.7
Lixi 历溪,2020-09-06,V2,7.834,20,913,39.61
Lixi 历溪,2022-08-11,V2,5.709,12,470,37.46
Lixi 历溪,2024-09-01,V2,7.603,20,884,43.38
Lixi 历溪,2025-06-17,V2,6.157,20,857,37.28
Lixi 历溪,2024-09-09,V2,7.408,20,913,41.97
Lixi 历溪,2025-08-27,V2,7.693,20,913,42.72
Lixi 历溪,2019-09-13,V3,3.083,79,79,42.8
Lixi 历溪,2019-09-29,V3,1.104,79,79,36.81
Lixi 历溪,2021-09-18,V3,2.55,79,79,35.84
Lixi 历溪,2024-08-25,V3,2.866,79,79,41.95
Lixi 历溪,2025-08-28,V3,2.566,79,79,40.09
Lixi 历溪,2020-09-06,V3,2.322,79,79,36.72
Lixi 历溪,2022-08-11,V3,1.299,50,48,35.49
Lixi 历溪,2024-09-01,V3,2.572,79,76,40.64
Lixi 历溪,2025-06-17,V3,2.061,79,79,35.6
Lixi 历溪,2024-08-08,V3,-2.744,12,60,21.66
Lixi 历溪,2024-09-09,V3,2.159,79,79,39.51
Lixi 历溪,2025-08-27,V3,2.774,79,79,40.0
Zhukou 渚口,2019-09-13,V1,2.88,78,857,39.59
Zhukou 渚口,2019-09-29,V1,2.459,78,857,34.23
Zhukou 渚口,2021-09-18,V1,2.607,78,857,33.28
Zhukou 渚口,2024-08-25,V1,3.419,78,857,39.96
Zhukou 渚口,2025-08-28,V1,2.977,78,857,38.18
Zhukou 渚口,2020-09-06,V1,3.396,78,857,34.81
Zhukou 渚口,2021-06-05,V1,2.282,23,178,18.19
Zhukou 渚口,2022-08-11,V1,2.508,78,531,33.56
Zhukou 渚口,2024-09-01,V1,0.092,6,683,35.65
Zhukou 渚口,2025-06-17,V1,2.855,78,835,33.91
Zhukou 渚口,2024-08-08,V1,4.346,78,857,33.53
Zhukou 渚口,2024-09-09,V1,3.026,78,857,37.38
Zhukou 渚口,2025-08-27,V1,2.492,78,857,37.21
Zhukou 渚口,2019-09-13,V2,7.371,13,857,44.08
Zhukou 渚口,2019-09-29,V2,5.859,13,857,37.63
Zhukou 渚口,2021-09-18,V2,6.927,13,857,37.6
Zhukou 渚口,2024-08-25,V2,8.283,13,857,44.83
Zhukou 渚口,2025-08-28,V2,7.358,13,857,42.56
Zhukou 渚口,2020-09-06,V2,8.52,13,857,39.93
Zhukou 渚口,2022-08-11,V2,6.208,13,531,37.26
Zhukou 渚口,2025-06-17,V2,6.8,13,835,37.85
Zhukou 渚口,2024-08-08,V2,8.996,13,857,38.18
Zhukou 渚口,2024-09-09,V2,7.351,13,857,41.71
Zhukou 渚口,2025-08-27,V2,6.639,13,857,41.36
Zhukou 渚口,2019-09-13,V3,1.493,78,78,39.59
Zhukou 渚口,2019-09-29,V3,1.081,78,78,34.23
Zhukou 渚口,2021-09-18,V3,1.455,78,78,33.28
Zhukou 渚口,2024-08-25,V3,2.159,78,78,39.96
Zhukou 渚口,2025-08-28,V3,2.032,78,78,38.18
Zhukou 渚口,2020-09-06,V3,2.048,78,78,34.81
Zhukou 渚口,2021-06-05,V3,-0.471,23,18,18.19
Zhukou 渚口,2022-08-11,V3,1.112,78,53,33.56
Zhukou 渚口,2024-09-01,V3,-0.907,6,71,35.65
Zhukou 渚口,2025-06-17,V3,1.783,78,77,33.91
Zhukou 渚口,2024-08-08,V3,2.435,78,78,33.53
Zhukou 渚口,2024-09-09,V3,1.673,78,78,37.38
Zhukou 渚口,2025-08-27,V3,1.48,78,78,37.21
Huansha 环砂,2019-09-13,V1,2.002,79,906,38.78
Huansha 环砂,2019-09-29,V1,2.13,79,906,34.5
Huansha 环砂,2021-09-18,V1,1.997,79,906,33.39
Huansha 环砂,2024-08-25,V1,1.288,79,906,37.9
Huansha 环砂,2025-08-28,V1,1.281,79,906,36.71
Huansha 环砂,2020-09-06,V1,2.078,79,906,33.55
Huansha 环砂,2021-06-05,V1,-3.419,79,867,21.45
Huansha 环砂,2024-09-01,V1,1.062,79,840,35.6
Huansha 环砂,2025-06-17,V1,1.257,66,751,31.8
Huansha 环砂,2024-08-08,V1,2.39,79,896,33.72
Huansha 环砂,2024-09-09,V1,1.602,79,906,36.2
Huansha 环砂,2025-08-27,V1,1.561,79,906,36.66
Huansha 环砂,2019-09-13,V3,0.538,79,79,38.78
Huansha 环砂,2019-09-29,V3,0.322,79,79,34.5
Huansha 环砂,2021-09-18,V3,0.3,79,79,33.39
Huansha 环砂,2024-08-25,V3,0.093,79,79,37.9
Huansha 环砂,2025-08-28,V3,-0.077,79,79,36.71
Huansha 环砂,2020-09-06,V3,0.999,79,79,33.55
Huansha 环砂,2021-06-05,V3,-6.129,79,79,21.45
Huansha 环砂,2024-09-01,V3,0.03,79,58,35.6
Huansha 环砂,2025-06-17,V3,0.092,66,70,31.8
Huansha 环砂,2024-08-08,V3,0.071,79,77,33.72
Huansha 环砂,2024-09-09,V3,0.173,79,79,36.2
Huansha 环砂,2025-08-27,V3,0.226,79,79,36.66
