village,county,lon,lat,elev_m,relief_m,slope_deg,southness,ns_asym_m,tsvf,forest_ring_pct,water_mean_m,water_min_m,water_src,built_wc_ha,built_dom_ha,built_fd_ha,n_built_px,cover_dom_pct,elong_fd,compact_fd,perim_m,edge_den_m_ha,n_patches,patch_den,lps_pct,lst_abs,dlst_v1,dlst_v1_lo,dlst_v1_hi,dlst_v1_n,dlst_v1_sig,dlst_v2,dlst_v2_lo,dlst_v2_hi,dlst_v2_n,dlst_v2_sig,dlst_v3m,dlst_v3m_lo,dlst_v3m_hi,dlst_v3m_n,dlst_v3m_sig,cov85_4p,cov95_4p,rsrp_mean_4p,rsrp_p10_4p,cov85_4p_sd,cov85_4p_f07,cov95_4p_f07,rsrp_mean_4p_f07,rsrp_p10_4p_f07,cov85_4p_f07_sd
Lingshan 灵山,徽州区,118.31642,29.91924,304.7,206.0,17.9,0.062,2.6,0.877,84.6,2349.1,1953.2,built-in-domain,2.4,2.25,2.4,324,3.06,1.506,0.0342,2969.7,37.8,21.0,0.27,32.7,34.71,2.28,2.04,2.59,6,True,,,,0,False,2.0,1.77,2.28,6,True,81.78,85.58,-80.58,-96.85,12.85,84.85,97.72,-73.77,-87.52,15.27
Qiankou 潜口,徽州区,118.29549,29.86674,170.8,31.0,4.0,0.27,6.3,0.957,45.2,631.5,248.9,built-in-domain,29.32,29.97,29.32,3956,37.33,1.658,0.0315,10811.0,137.7,17.0,0.22,88.2,40.09,4.5,4.0,4.98,6,True,6.55,5.82,7.23,6,True,2.36,1.81,2.84,6,True,99.78,100.0,-73.53,-77.25,0.15,99.78,100.0,-65.75,-71.72,0.15
Yuliang 渔梁,歙县,118.43587,29.86988,143.4,80.0,7.9,0.027,-0.0,0.927,33.0,533.4,193.9,built-in-domain,56.24,56.79,56.24,7590,71.61,1.064,0.0474,12212.3,155.5,4.0,0.05,99.9,42.8,7.69,6.98,8.31,6,True,8.7,7.86,9.42,6,True,4.19,3.44,4.9,6,True,86.25,94.25,-77.53,-88.68,14.51,90.92,97.18,-70.72,-84.02,10.74
Tangyue 棠樾,歙县,118.3603,29.8683,129.7,22.0,2.0,0.222,6.4,0.983,29.6,351.2,16.1,built-in-domain,16.07,15.75,16.07,2169,20.46,1.375,0.0219,9607.2,122.3,23.0,0.29,63.0,39.84,1.81,1.28,2.3,6,True,3.79,3.0,4.4,6,True,1.73,1.16,2.21,6,True,99.28,100.0,-72.8,-76.08,0.71,99.85,100.0,-64.55,-69.78,0.3
Xiongcun 雄村,歙县,118.43321,29.82146,125.9,43.0,5.8,-0.032,-1.4,0.917,55.4,414.6,48.8,built-in-domain,9.26,9.18,9.26,1249,11.79,1.739,0.0281,6434.6,81.9,12.0,0.15,51.0,39.26,5.06,4.04,6.01,6,True,6.9,6.21,7.52,6,True,1.73,1.35,2.08,6,True,99.5,100.0,-75.18,-78.47,1.0,99.5,100.0,-68.47,-73.65,1.0
Xucun 许村,歙县,118.32063,30.00146,193.6,86.0,5.8,0.209,7.2,0.889,70.6,2808.5,2487.4,built-in-domain,11.3,18.81,11.3,1527,14.39,1.574,0.0681,4567.6,58.2,3.0,0.04,78.5,33.41,0.23,-2.04,2.02,9,False,1.27,-2.48,4.13,9,False,-0.04,-1.69,1.02,9,False,100.0,100.0,-74.4,-76.45,0.0,100.0,100.0,-67.15,-70.47,0.0
Zhanqi 瞻淇,歙县,118.51714,29.87485,138.4,65.0,10.6,0.064,-1.4,0.881,70.9,2839.8,2240.1,built-in-domain,19.55,19.8,19.55,2639,24.9,2.034,0.0379,8052.0,102.5,14.0,0.18,92.6,38.41,4.15,3.63,4.63,6,True,7.32,6.4,8.19,6,True,1.83,1.49,2.12,6,True,92.15,96.25,-78.15,-84.58,9.95,93.05,97.98,-72.0,-81.15,10.21
Changxi 昌溪,歙县,118.64396,29.91287,144.6,136.0,16.2,0.067,-6.5,0.848,85.7,151.0,8.0,built-in-domain,19.1,19.35,19.1,2578,24.31,3.483,0.0837,5353.3,68.2,1.0,0.01,100.0,38.1,4.09,3.71,4.45,6,True,7.22,6.38,7.98,6,True,2.11,1.83,2.34,6,True,82.9,97.78,-77.22,-83.0,22.36,97.55,99.42,-69.78,-77.85,2.12
Shitan 石潭,歙县,118.66476,29.9372,167.4,152.0,20.3,0.129,6.3,0.787,93.0,138.2,25.8,built-in-domain,5.54,5.4,5.54,748,7.05,1.703,0.0825,2904.8,37.0,11.0,0.14,59.6,36.31,0.05,-0.6,0.66,9,False,1.76,0.51,2.95,8,True,-0.82,-1.68,-0.04,9,False,85.82,86.25,-78.9,-86.58,23.97,86.25,100.0,-71.38,-80.97,24.2
Zuyuan 祖源,休宁县,118.0306,29.662,419.9,241.0,22.3,-0.147,-3.5,0.735,97.9,2936.5,2890.9,built-in-domain,0.19,0.27,0.19,26,0.25,2.369,0.1294,433.0,5.5,4.0,0.05,46.2,32.1,0.56,0.45,0.66,6,True,,,,0,False,0.96,0.83,1.1,6,True,63.62,90.15,-79.4,-91.88,34.91,90.18,100.0,-69.95,-81.75,15.71
Mulihong 木梨硔,休宁县,118.0017,29.6483,405.0,320.0,26.3,-0.27,-47.0,0.91,99.9,1330.5,1330.5,domain-centre,0.0,0.0,0.0,0,0.0,,,,,,,,31.22,0.03,-0.13,0.2,6,False,,,,0,False,0.33,0.15,0.54,6,True,59.82,87.88,-82.78,-94.62,17.89,78.03,98.5,-76.35,-87.93,12.7
Longchuan 龙川,绩溪县,118.66749,30.07791,200.3,103.0,7.8,-0.038,-13.2,0.878,74.4,175.8,8.0,built-in-domain,17.59,18.0,17.59,2379,22.4,1.93,0.0464,6905.4,87.9,14.0,0.18,77.1,36.92,2.37,1.6,3.08,8,True,3.49,2.01,5.03,8,True,0.87,0.61,1.15,8,True,99.12,100.0,-76.53,-79.28,1.03,100.0,100.0,-70.35,-74.55,0.0
Renli 仁里,绩溪县,118.37129,29.97276,294.6,180.0,16.0,0.418,56.7,0.834,96.2,1967.3,1493.5,built-in-domain,4.6,4.59,4.6,622,5.86,1.554,0.0338,4139.8,52.7,25.0,0.32,71.5,33.7,1.16,-0.48,2.75,9,False,,,,0,False,1.49,0.24,2.64,8,True,84.32,85.3,-75.95,-79.97,31.35,84.32,100.0,-66.62,-71.03,31.35
Shangzhuang 上庄,绩溪县,118.43675,30.12547,284.8,40.0,4.1,0.049,-0.3,0.886,30.2,573.5,143.7,built-in-domain,29.25,29.16,29.25,3957,37.24,2.124,0.0667,7424.3,94.5,10.0,0.13,97.1,38.24,4.0,3.1,4.87,9,True,5.21,3.83,6.48,9,True,2.59,1.98,3.18,9,True,100.0,100.0,-74.53,-76.15,0.0,100.0,100.0,-67.72,-69.82,0.0
Kantou 磡头,绩溪县,118.81129,30.23962,284.8,113.0,12.3,-0.266,-7.5,0.839,65.3,2944.9,2486.1,built-in-domain,13.36,13.41,13.36,1810,17.01,1.285,0.0252,8167.5,104.0,8.0,0.1,98.1,37.02,2.81,2.5,3.06,6,True,5.71,5.18,6.22,6,True,1.68,1.32,2.06,6,True,97.0,100.0,-78.0,-82.52,2.58,98.82,100.0,-72.7,-79.53,1.91
Lixi 历溪,祁门县,117.50657,29.90047,137.0,143.0,10.7,0.225,9.4,0.87,79.6,158.8,8.0,built-in-domain,23.79,24.12,23.79,3211,30.29,1.827,0.0351,9233.9,117.6,13.0,0.17,95.6,37.26,4.27,3.07,5.03,12,True,7.26,6.78,7.73,11,True,1.88,0.94,2.55,12,True,94.2,98.3,-77.1,-81.9,5.67,97.3,99.8,-71.1,-77.88,2.84
Zhukou 渚口,祁门县,117.48406,29.85406,137.8,154.0,17.3,-0.073,-16.7,0.844,96.5,1018.4,591.2,built-in-domain,14.27,13.77,14.27,1926,18.17,2.434,0.0535,5790.3,73.7,4.0,0.05,97.7,34.57,2.72,2.17,3.18,13,True,7.3,6.77,7.86,11,True,1.34,0.78,1.79,13,True,95.1,96.55,-78.53,-82.32,2.74,96.4,99.82,-72.95,-79.15,3.28
Huansha 环砂,祁门县,117.51296,29.93477,159.8,110.0,12.9,0.148,6.8,0.835,96.9,2867.4,2707.7,built-in-domain,2.55,2.79,2.55,345,3.25,2.343,0.0381,2902.8,37.0,13.0,0.17,42.3,34.19,1.27,0.34,1.88,12,True,,,,0,False,-0.28,-1.41,0.38,12,False,95.98,96.78,-77.47,-81.03,4.07,96.78,100.0,-71.32,-77.2,4.57
