village,cov85,cov95,rsrp_mean,rsrp_p10,n_sites,n_tgt
Hongcun 宏村,100.0,100.0,-76.9,-79.8,52,365
Xidi 西递,99.4,99.4,-76.4,-77.9,53,159
Lucun 卢村,88.0,100.0,-75.4,-85.4,52,83
Pingshan 屏山,100.0,100.0,-61.8,-65.7,49,220
Nanping 南屏,100.0,100.0,-76.8,-77.9,51,160
Guanlu 关麓,100.0,100.0,-72.3,-73.7,50,54
Tachuan 塔川,100.0,100.0,-70.7,-73.9,51,33
Bishan 碧山,100.0,100.0,-76.7,-78.1,52,310
Chengkan 呈坎,99.5,100.0,-76.7,-78.3,51,192
Tangmo 唐模,100.0,100.0,-66.5,-68.8,48,179
Shuyuan 蜀源,90.7,92.0,-75.6,-75.4,49,75
Lingshan 灵山,63.6,72.7,-88.5,-105.8,50,33
Qiankou 潜口,99.7,100.0,-75.2,-77.8,51,333
Yuliang 渔梁,99.4,100.0,-71.4,-82.2,48,631
Tangyue 棠樾,99.4,100.0,-69.1,-73.2,48,175
Xiongcun 雄村,100.0,100.0,-70.2,-78.3,48,102
Xucun 许村,100.0,100.0,-76.2,-77.2,49,209
Zhanqi 瞻淇,91.8,95.0,-79.6,-84.7,50,220
Changxi 昌溪,52.6,100.0,-77.5,-88.4,48,215
Shitan 石潭,98.3,98.3,-76.4,-80.1,50,60
Zuyuan 祖源,15.2,75.8,-90.2,-97.0,49,33
Mulihong 木梨硔,42.4,100.0,-79.0,-92.0,43,33
Longchuan 龙川,100.0,100.0,-78.6,-80.8,49,200
Renli 仁里,37.3,41.2,-90.7,-100.5,51,51
Shangzhuang 上庄,100.0,100.0,-78.2,-78.9,51,324
Kantou 磡头,100.0,100.0,-76.4,-82.1,22,149
Lixi 历溪,100.0,100.0,-71.2,-74.9,45,268
Zhukou 渚口,91.5,91.5,-78.8,-84.5,41,153
Huansha 环砂,96.8,96.8,-78.6,-82.0,47,31
