village,cov85,cov95,rsrp_mean,rsrp_p10,n_sites,n_tgt
Hongcun 宏村,100.0,100.0,-71.0,-74.1,49,365
Xidi 西递,100.0,100.0,-77.5,-79.1,50,159
Lucun 卢村,100.0,100.0,-78.2,-79.2,50,83
Pingshan 屏山,100.0,100.0,-76.9,-78.1,49,220
Nanping 南屏,100.0,100.0,-77.0,-78.2,51,160
Guanlu 关麓,100.0,100.0,-76.4,-77.8,54,54
Tachuan 塔川,100.0,100.0,-75.4,-77.5,52,33
Bishan 碧山,100.0,100.0,-76.3,-78.1,52,310
Chengkan 呈坎,100.0,100.0,-75.6,-78.2,49,192
Tangmo 唐模,100.0,100.0,-75.6,-77.4,50,179
Shuyuan 蜀源,90.7,96.0,-75.5,-76.4,47,75
Lingshan 灵山,93.9,100.0,-75.4,-82.8,49,33
Qiankou 潜口,100.0,100.0,-70.3,-74.8,49,333
Yuliang 渔梁,71.0,96.0,-79.7,-88.2,49,631
Tangyue 棠樾,100.0,100.0,-71.0,-72.6,48,175
Xiongcun 雄村,98.0,100.0,-77.4,-78.6,49,102
Xucun 许村,100.0,100.0,-72.9,-74.7,50,209
Zhanqi 瞻淇,78.2,90.9,-83.7,-93.0,50,220
Changxi 昌溪,89.3,97.7,-76.4,-85.1,49,215
Shitan 石潭,95.0,96.7,-77.8,-80.3,48,60
Zuyuan 祖源,72.7,93.9,-75.7,-92.1,48,33
Mulihong 木梨硔,84.8,97.0,-82.3,-85.2,44,33
Longchuan 龙川,98.5,100.0,-73.9,-76.7,51,200
Renli 仁里,100.0,100.0,-71.4,-74.1,52,51
Shangzhuang 上庄,100.0,100.0,-78.6,-79.7,51,324
Kantou 磡头,100.0,100.0,-81.1,-82.8,20,149
Lixi 历溪,92.2,99.6,-79.0,-84.8,45,268
Zhukou 渚口,94.8,96.1,-76.8,-79.7,41,153
Huansha 环砂,90.3,90.3,-79.3,-79.0,48,31
