site,x,y,z
V0464,597069.9091909033,3328660.371034871,1262.4886474609375
V0465,564579.9091909033,3328570.371034871,529.0911254882812
V0466,581949.9091909033,3328570.371034871,423.2006530761719
V0467,562149.9091909033,3328480.371034871,635.8732299804688
V0468,663009.9091909033,3328450.371034871,701.3450927734375
V0469,619779.9091909033,3328420.371034871,1179.4510498046875
V0470,609519.9091909033,3328390.371034871,1026.591064453125
V0471,587859.9091909033,3328360.371034871,545.2572021484375
V0472,590379.9091909033,3328360.371034871,1106.3624267578125
V0473,642549.9091909033,3328360.371034871,651.2905883789062
V0474,664749.9091909033,3328330.371034871,654.9474487304688
V0475,634989.9091909033,3328300.371034871,846.4639892578125
V0476,547809.9091909033,3328270.371034871,515.572998046875
V0477,560229.9091909033,3328270.371034871,291.6681823730469
V0478,585339.9091909033,3328270.371034871,488.3099365234375
V0479,615219.9091909033,3328270.371034871,724.9795532226562
V0480,577329.9091909033,3328240.371034871,381.52593994140625
V0481,622779.9091909033,3328240.371034871,1132.3211669921875
V0482,545079.9091909033,3328180.371034871,578.9890747070312
V0483,570069.9091909033,3328180.371034871,628.9871215820312
V0484,644799.9091909033,3328180.371034871,404.7052917480469
V0485,654849.9091909033,3328180.371034871,433.9061279296875
V0486,617499.9091909033,3328150.371034871,906.1376953125
V0487,647499.9091909033,3326860.371034871,220.40061950683594
V0488,669999.9091909033,3326860.371034871,826.0562133789062
V0489,597369.9091909033,3326830.371034871,1025.6640625
V0490,599889.9091909033,3326830.371034871,1226.156982421875
V0491,602589.9091909033,3326830.371034871,1104.2984619140625
V0492,617379.9091909033,3326830.371034871,873.64453125
V0493,622659.9091909033,3326830.371034871,1101.6905517578125
V0494,624939.9091909033,3326830.371034871,1243.6240234375
V0495,665049.9091909033,3326830.371034871,714.1719360351562
V0496,567459.9091909033,3326800.371034871,517.5771484375
V0497,627699.9091909033,3326800.371034871,907.4010009765625
V0498,640239.9091909033,3326740.371034871,619.6854248046875
V0499,619599.9091909033,3326710.371034871,781.3550415039062
V0500,642879.9091909033,3326710.371034871,539.5318603515625
V0501,629589.9091909033,3326680.371034871,783.4095458984375
