metric,target,rho,p,p_ess,p_perm,n,n_eff,ci_lo,ci_hi,p_boot,q,q_perm,q_ess,survive,survive_perm,survive_ess,survive_dual
cover_dom_pct,lst_abs,0.373,0.04648249450622776,0.06772575663416655,0.06896551724137931,29,24.8,-0.251,0.764,0.3961,0.18592997802491104,0.26785714285714285,0.26350351053189713,False,False,False,False
cover_dom_pct,dlst_v3m,0.341,0.07026760280850596,0.0702676028085059,0.06896551724137931,29,29.0,-0.236,0.714,0.2688,0.24422560238537316,0.26785714285714285,0.26350351053189713,False,False,False,False
cover_dom_pct,cov85_4p,-0.141,0.46502817344083536,0.49505011517298614,0.5862068965517241,29,25.6,-0.385,0.23,0.3436,0.6455117707413093,0.7327586206896551,0.6907676025669575,False,False,False,False
cover_dom_pct,rsrp_p10_4p,-0.06,0.7586285313020725,0.7687710476235858,0.7241379310344828,29,26.8,-0.355,0.305,0.8049,0.8275947614204427,0.8197787898503579,0.8386593246802755,False,False,False,False
elong_fd,lst_abs,-0.007,0.9724506179824104,0.9749844208252771,0.9642857142857143,28,23.5,-0.42,0.364,0.9503,0.988932831846519,0.9975369458128079,0.9915095805002818,False,False,False,False
elong_fd,dlst_v3m,0.088,0.6552324072827571,0.6552324072827577,0.5357142857142857,28,28.0,-0.295,0.505,0.6556,0.7576722280936476,0.7142857142857142,0.765908491960845,False,False,False,False
elong_fd,cov85_4p,-0.259,0.1839219519143405,0.21765280777153198,0.21428571428571427,28,24.4,-0.686,0.324,0.3708,0.3805281763744976,0.5590062111801242,0.48367290615895997,False,False,False,False
elong_fd,rsrp_p10_4p,-0.189,0.3358695726265335,0.3595517865611175,0.42857142857142855,28,25.6,-0.593,0.235,0.3781,0.5167224194254362,0.6560134566862911,0.5677133472017646,False,False,False,False
compact_fd,lst_abs,-0.233,0.23379004353746674,0.2937062164669403,0.39285714285714285,28,22.3,-0.594,0.148,0.2454,0.43062248726207664,0.6547619047619047,0.49333158040082314,False,False,False,False
compact_fd,dlst_v3m,-0.077,0.6971951885895171,0.6999385519862634,0.8214285714285714,28,27.5,-0.463,0.235,0.5869,0.7892775719881325,0.8961038961038961,0.7923832663995435,False,False,False,False
compact_fd,cov85_4p,-0.413,0.028741967100282685,0.048725247184071806,0.03571428571428571,28,23.2,-0.691,0.112,0.126,0.14370983550141342,0.1948051948051948,0.24362623592035904,False,False,False,False
compact_fd,rsrp_p10_4p,-0.427,0.02339595830846892,0.03601134713674908,0.03571428571428571,28,24.3,-0.687,0.092,0.1067,0.1276143180461941,0.1948051948051948,0.21606808282049447,False,False,False,False
edge_den_m_ha,lst_abs,-0.112,0.5699340439770236,0.6209574694282665,0.7142857142857143,28,21.8,-0.451,0.292,0.4682,0.7433922312743787,0.8197787898503579,0.765908491960845,False,False,False,False
edge_den_m_ha,dlst_v3m,-0.088,0.6566492643478279,0.663787359699399,0.6785714285714286,28,26.9,-0.495,0.334,0.6242,0.7576722280936476,0.8113590263691683,0.765908491960845,False,False,False,False
edge_den_m_ha,cov85_4p,0.277,0.15345620794941167,0.20419716370937366,0.2857142857142857,28,22.7,-0.178,0.542,0.1941,0.3805281763744976,0.5911330049261083,0.48367290615895997,False,False,False,False
edge_den_m_ha,rsrp_p10_4p,0.229,0.24022169053712777,0.28361478065472184,0.2857142857142857,28,23.8,-0.281,0.543,0.3641,0.43062248726207664,0.5911330049261083,0.49333158040082314,False,False,False,False
patch_den,lst_abs,0.0,0.9991637756264256,0.9992364946733342,1.0,28,23.8,-0.371,0.351,0.865,0.9991637756264257,1.0,0.9992364946733342,False,False,False,False
patch_den,dlst_v3m,-0.199,0.30901609223240883,0.3090160922324089,0.39285714285714285,28,28.0,-0.6,0.21,0.4108,0.5011071765930953,0.6547619047619047,0.5011071765930954,False,False,False,False
patch_den,cov85_4p,0.219,0.2626175832990997,0.2959989482404939,0.39285714285714285,28,24.7,-0.209,0.481,0.2628,0.4500474643431096,0.6547619047619047,0.49333158040082314,False,False,False,False
patch_den,rsrp_p10_4p,0.233,0.23211250500962,0.2526627043010449,0.35714285714285715,28,25.9,-0.336,0.569,0.3841,0.43062248726207664,0.6547619047619047,0.49333158040082314,False,False,False,False
lps_pct,lst_abs,0.228,0.24401940944851008,0.2895129922124807,0.42857142857142855,28,23.6,-0.151,0.598,0.2061,0.43062248726207664,0.6560134566862911,0.49333158040082314,False,False,False,False
lps_pct,dlst_v3m,0.33,0.08628307766982288,0.08628307766982297,0.07142857142857142,28,28.0,-0.032,0.733,0.0894,0.2724728768520722,0.26785714285714285,0.2949928444474295,False,False,False,False
lps_pct,cov85_4p,-0.296,0.12584273617389066,0.1550358995022475,0.25,28,24.5,-0.561,0.055,0.0894,0.37752820852167196,0.5769230769230769,0.4429597128635643,False,False,False,False
lps_pct,rsrp_p10_4p,-0.265,0.17318692804789065,0.1941506097033916,0.21428571428571427,28,25.7,-0.672,0.277,0.2988,0.3805281763744976,0.5590062111801242,0.48367290615895997,False,False,False,False
elev_m,lst_abs,-0.506,0.005146330269807414,0.03492435919631872,0.034482758620689655,29,17.6,-0.851,0.023,0.0607,0.03859747702355561,0.1948051948051948,0.21606808282049447,True,False,False,False
elev_m,dlst_v3m,-0.139,0.4733752985436268,0.5428608340366482,0.4482758620689655,29,21.6,-0.465,0.273,0.4942,0.6455117707413093,0.6560134566862911,0.7292698687327684,False,False,False,False
elev_m,cov85_4p,0.282,0.13884416417646483,0.2557176775161887,0.2413793103448276,29,18.1,-0.115,0.546,0.1547,0.3805281763744976,0.5769230769230769,0.49333158040082314,False,False,False,False
elev_m,rsrp_p10_4p,0.188,0.32966135982568906,0.44269487996876583,0.4827586206896552,29,18.9,-0.206,0.531,0.3841,0.5167224194254362,0.6736166800320771,0.6324212570982369,False,False,False,False
relief_m,lst_abs,-0.36,0.05499619954760005,0.09341440074168601,0.13793103448275862,29,22.8,-0.66,0.089,0.1127,0.2062357483035002,0.39408866995073893,0.2949928444474295,False,False,False,False
relief_m,dlst_v3m,0.105,0.5862219370051076,0.5935332352667125,0.6896551724137931,29,28.0,-0.27,0.425,0.5228,0.7483684302192862,0.8113590263691683,0.765908491960845,False,False,False,False
relief_m,cov85_4p,-0.662,9.188606037856153e-05,0.000499056664826791,0.034482758620689655,29,23.5,-0.856,-0.319,0.0013,0.0014085706231009665,0.1948051948051948,0.007485849972401864,True,False,True,True
relief_m,rsrp_p10_4p,-0.661,9.39047082067311e-05,0.0003676555082779461,0.034482758620689655,29,24.5,-0.787,-0.456,0.0,0.0014085706231009665,0.1948051948051948,0.007353110165558921,True,False,True,True
slope_deg,lst_abs,-0.242,0.2058048852475227,0.28723252760267254,0.3793103448275862,29,21.2,-0.59,0.225,0.3121,0.4116097704950454,0.6547619047619047,0.49333158040082314,False,False,False,False
slope_deg,dlst_v3m,0.178,0.3569077786508539,0.38435233956602516,0.5172413793103449,29,26.1,-0.202,0.481,0.3274,0.5353616679762808,0.7053291536050157,0.5913112916400387,False,False,False,False
slope_deg,cov85_4p,-0.742,4.025853519111138e-06,7.84696941713658e-05,0.034482758620689655,29,21.9,-0.902,-0.437,0.0,0.00012077560557333414,0.1948051948051948,0.002354090825140974,True,False,True,True
slope_deg,rsrp_p10_4p,-0.747,3.3095742480248937e-06,4.450811318669547e-05,0.034482758620689655,29,22.9,-0.843,-0.559,0.0,0.00012077560557333414,0.1948051948051948,0.002354090825140974,True,False,True,True
southness,lst_abs,-0.377,0.044093874008803394,0.06169207207161484,0.06896551724137931,29,25.3,-0.609,-0.13,0.006,0.18592997802491104,0.26785714285714285,0.26350351053189713,False,False,False,False
southness,dlst_v3m,-0.212,0.27002847860586576,0.2700284786058659,0.2413793103448276,29,29.0,-0.494,0.133,0.2147,0.4500474643431096,0.5769230769230769,0.49333158040082314,False,False,False,False
southness,cov85_4p,-0.159,0.40997016326235,0.4363781663466935,0.41379310344827586,29,26.1,-0.625,0.238,0.4368,0.5856716618033572,0.6560134566862911,0.6324212570982369,False,False,False,False
southness,rsrp_p10_4p,0.12,0.5336384829259866,0.5469524015495764,0.4827586206896552,29,27.3,-0.447,0.494,0.7729,0.7115179772346487,0.6736166800320771,0.7292698687327684,False,False,False,False
ns_asym_m,lst_abs,-0.338,0.07326768071561195,0.09276231148231884,0.13793103448275862,29,25.8,-0.609,-0.051,0.0207,0.24422560238537316,0.39408866995073893,0.2949928444474295,False,False,False,False
ns_asym_m,dlst_v3m,-0.101,0.6036599749950168,0.6036599749950166,0.5862068965517241,29,29.0,-0.386,0.219,0.5582,0.754574968743771,0.7327586206896551,0.765908491960845,False,False,False,False
ns_asym_m,cov85_4p,-0.165,0.3923715699848042,0.4139460243467684,0.4482758620689655,29,26.7,-0.536,0.208,0.3388,0.5742022975387379,0.6560134566862911,0.6209190365201527,False,False,False,False
ns_asym_m,rsrp_p10_4p,0.086,0.6556632774133387,0.6626358711802278,0.5862068965517241,29,27.9,-0.357,0.403,0.7356,0.7576722280936476,0.7327586206896551,0.765908491960845,False,False,False,False
tsvf,lst_abs,0.256,0.17941579304226937,0.26530930076593084,0.3448275862068966,29,20.7,-0.326,0.659,0.3628,0.3805281763744976,0.6547619047619047,0.49333158040082314,False,False,False,False
tsvf,dlst_v3m,-0.03,0.8769542175641503,0.8852978910819551,0.8620689655172413,29,25.5,-0.415,0.277,0.7843,0.9231097026991055,0.9236453201970443,0.9318925169283738,False,False,False,False
tsvf,cov85_4p,0.445,0.015596430726790353,0.0410433235767316,0.10344827586206896,29,21.4,0.027,0.762,0.038,0.10032698009904076,0.32667876588021777,0.22387267405489963,False,False,False,False
tsvf,rsrp_p10_4p,0.53,0.0031159660416575003,0.010471262026935012,0.034482758620689655,29,22.4,0.296,0.719,0.0033,0.031159660416575002,0.1948051948051948,0.08975367451658581,True,False,False,True
forest_ring_pct,lst_abs,-0.441,0.016721163349840126,0.03534617285493921,0.06896551724137931,29,23.0,-0.762,0.016,0.058,0.10032698009904076,0.26785714285714285,0.21606808282049447,False,False,False,False
forest_ring_pct,dlst_v3m,0.065,0.7361213702904749,0.7396279116784357,0.6896551724137931,29,28.3,-0.412,0.445,0.7769,0.8179126336560832,0.8113590263691683,0.8218087907538174,False,False,False,False
forest_ring_pct,cov85_4p,-0.541,0.0024412128958175554,0.00666253231752872,0.034482758620689655,29,23.7,-0.832,-0.144,0.0107,0.029294554749810665,0.1948051948051948,0.07963871314709835,True,False,False,True
forest_ring_pct,rsrp_p10_4p,-0.52,0.0038198143468266086,0.007963871314709835,0.034482758620689655,29,24.8,-0.771,-0.14,0.0133,0.03274126582994236,0.1948051948051948,0.07963871314709835,True,False,False,True
water_mean_m,lst_abs,-0.273,0.1512646845893114,0.18877442267588176,0.27586206896551724,29,24.7,-0.603,0.109,0.1974,0.3805281763744976,0.5911330049261083,0.48367290615895997,False,False,False,False
water_mean_m,dlst_v3m,-0.092,0.6340074942030981,0.6340074942030971,0.7586206896551724,29,29.0,-0.524,0.357,0.6489,0.7576722280936476,0.8429118773946359,0.765908491960845,False,False,False,False
water_mean_m,cov85_4p,0.038,0.8459148377708707,0.8562577959864116,0.896551724137931,29,25.5,-0.231,0.329,0.7936,0.9063373261830758,0.9437386569872959,0.9174190671282981,False,False,False,False
water_mean_m,rsrp_p10_4p,-0.007,0.9719181684672992,0.9731842724756445,1.0,29,26.7,-0.327,0.325,0.881,0.988932831846519,1.0,0.9915095805002818,False,False,False,False
water_min_m,lst_abs,-0.389,0.036889845651815946,0.06113680656417827,0.034482758620689655,29,23.8,-0.733,0.191,0.1994,0.17026082608530435,0.1948051948051948,0.26350351053189713,False,False,False,False
water_min_m,dlst_v3m,-0.28,0.1407964651866362,0.14079646518663597,0.3103448275862069,29,29.0,-0.693,0.24,0.3521,0.3805281763744976,0.6206896551724138,0.42238939555990795,False,False,False,False
water_min_m,cov85_4p,0.259,0.17574021350771327,0.2162417767837555,0.10344827586206896,29,24.6,-0.081,0.587,0.1367,0.3805281763744976,0.32667876588021777,0.48367290615895997,False,False,False,False
water_min_m,rsrp_p10_4p,0.258,0.1758076717408135,0.20525045281546575,0.10344827586206896,29,25.7,-0.086,0.562,0.14,0.3805281763744976,0.32667876588021777,0.48367290615895997,False,False,False,False
