metric,target,rho,p,p_ess,p_perm,n,n_eff,ci_lo,ci_hi,p_boot,q,q_perm,q_ess,survive,survive_perm,survive_ess,survive_dual
built_dom_ha,lst_abs,0.576,0.0010668003867904082,0.002374971155241687,0.034482758620689655,29,25.3,0.1,0.831,0.0287,0.004876801768184723,0.08465608465608465,0.013175857582565722,True,False,True,True
built_dom_ha,dlst_v3m,0.477,0.008822944786897241,0.008822944786897241,0.034482758620689655,29,29.0,0.062,0.781,0.0267,0.02688897458863921,0.08465608465608465,0.02823342331807117,True,False,True,True
built_dom_ha,cov85_4p,0.523,0.0036153671147740483,0.005966320385822637,0.034482758620689655,29,26.2,0.073,0.83,0.0267,0.01361079384385524,0.08465608465608465,0.023865281543290547,True,False,True,True
built_dom_ha,rsrp_p10_4p,0.366,0.05099404515429915,0.0637527178216116,0.06896551724137931,29,26.4,-0.154,0.724,0.1501,0.10878729632917153,0.14285714285714285,0.13600579801943807,False,False,False,False
cover_dom_pct,lst_abs,0.651,0.0001302190791931838,0.0003883878748014791,0.034482758620689655,29,25.3,0.273,0.864,0.004,0.0014977401748548491,0.08465608465608465,0.004971364797458933,True,False,True,True
cover_dom_pct,dlst_v3m,0.56,0.0015950975701362847,0.0015950975701362847,0.034482758620689655,29,29.0,0.238,0.805,0.0033,0.006805749632581482,0.08465608465608465,0.011342916054302469,True,False,True,True
cover_dom_pct,cov85_4p,0.421,0.022899539686699878,0.03182729675557361,0.034482758620689655,29,26.1,-0.08,0.761,0.0867,0.05636809769033816,0.08465608465608465,0.07544248119839671,False,False,False,False
cover_dom_pct,rsrp_p10_4p,0.307,0.10532831492351535,0.12447811006233978,0.06896551724137931,29,26.3,-0.195,0.684,0.2454,0.18725033764180507,0.14285714285714285,0.22761711554256417,False,False,False,False
elong_fd,lst_abs,-0.121,0.5397748780510739,0.5686577909863698,0.6785714285714286,28,24.5,-0.533,0.352,0.6142,0.6397331888012728,0.7743496672716274,0.6739647893171791,False,False,False,False
elong_fd,dlst_v3m,-0.023,0.906454685400237,0.906454685400237,0.8928571428571429,28,28.0,-0.48,0.418,0.8976,0.9510344240264782,0.936768149882904,0.9510344240264782,False,False,False,False
elong_fd,cov85_4p,-0.325,0.09136988196456389,0.10953044498897678,0.14285714285714285,28,25.4,-0.706,0.156,0.1774,0.1804204162572869,0.25396825396825395,0.21782501108813265,False,False,False,False
elong_fd,rsrp_p10_4p,-0.241,0.21747898611149813,0.24170296017266685,0.21428571428571427,28,25.5,-0.597,0.165,0.2734,0.347966377778397,0.34285714285714286,0.38672473627626697,False,False,False,False
compact_fd,lst_abs,-0.193,0.3245762890811887,0.37350593501464063,0.5714285714285714,28,23.3,-0.569,0.151,0.2614,0.48309029072549015,0.6772486772486772,0.5235038608952504,False,False,False,False
compact_fd,dlst_v3m,-0.065,0.7429479975729658,0.7438037494792209,0.8571428571428571,28,27.8,-0.495,0.325,0.7182,0.8198046869770658,0.9142857142857143,0.8207489649425885,False,False,False,False
compact_fd,cov85_4p,-0.361,0.05878175557160108,0.08168668020657335,0.2857142857142857,28,24.1,-0.69,0.104,0.1274,0.12135588247040223,0.43537414965986393,0.16864346881357078,False,False,False,False
compact_fd,rsrp_p10_4p,-0.406,0.03222457772327835,0.04817203582136316,0.07142857142857142,28,24.2,-0.704,0.052,0.078,0.07111630945826947,0.14285714285714285,0.10631069974369801,False,False,False,False
edge_den_m_ha,lst_abs,-0.477,0.01022006016526613,0.012689024160646819,0.03571428571428571,28,26.5,-0.725,-0.072,0.0287,0.02896131091415069,0.08465608465608465,0.036913524830972565,True,False,True,True
edge_den_m_ha,dlst_v3m,-0.411,0.02999393016122129,0.029993930161221337,0.03571428571428571,28,28.0,-0.725,0.024,0.0607,0.06855755465422009,0.08465608465608465,0.07383121270454483,False,False,False,False
edge_den_m_ha,cov85_4p,-0.223,0.2550456029377407,0.2601527069691661,0.39285714285714285,28,27.5,-0.63,0.236,0.3114,0.3886409187622715,0.5404644616467277,0.3964231725244436,False,False,False,False
edge_den_m_ha,rsrp_p10_4p,-0.101,0.6090839887605404,0.6123972427621388,0.7857142857142857,28,27.5,-0.577,0.356,0.6449,0.7015666064253366,0.8603156049094097,0.7015666064253366,False,False,False,False
patch_den,lst_abs,-0.42,0.02609884420134044,0.02864730569176845,0.07142857142857142,28,27.2,-0.73,-0.026,0.0387,0.06186392699576993,0.14285714285714285,0.07333710257092724,False,False,False,False
patch_den,dlst_v3m,-0.471,0.011322229409565699,0.011322229409565699,0.03571428571428571,28,28.0,-0.744,-0.15,0.012,0.030192611758841862,0.08465608465608465,0.03450584201010499,True,False,True,True
