family,metric,target,rho,p,p_ess,q,q_ess,ci_lo,ci_hi,n,n_eff,survive_fdr,survive_fdr_ess
F1 raw,water_mean_m,cov85_4p,-0.055,0.784243,0.794353,0.8555,0.8747,-0.369,0.348,27,24.7,False,False
F1 raw,water_mean_m,rsrp_p10_4p,-0.023,0.910928,0.911953,0.9505,0.9516,-0.327,0.335,27,26.4,False,False
F1 raw,water_min_m,lst_abs,-0.544,0.003339,0.005095,0.0123,0.0188,-0.801,-0.121,27,24.8,True,True
F1 raw,water_min_m,dlst_v3m,-0.48,0.011315,0.007316,0.0319,0.0251,-0.746,-0.196,27,30.0,True,True
F1 raw,water_min_m,cov85_4p,-0.17,0.396446,0.410375,0.5947,0.6156,-0.465,0.207,27,25.6,False,False
F1 raw,water_min_m,rsrp_p10_4p,-0.098,0.626791,0.624107,0.8293,0.8321,-0.361,0.193,27,27.4,False,False
F2 partial (ctrl domain built-up),elong_fd,lst_abs,-0.027,0.890138,0.895108,0.9108,0.9137,-0.52,0.386,28,25.7,False,False
F2 partial (ctrl domain built-up),elong_fd,dlst_v3m,0.07,0.724212,0.713034,0.8612,0.8479,-0.352,0.512,28,30.2,False,False
F2 partial (ctrl domain built-up),elong_fd,cov85_4p,-0.282,0.146106,0.142924,0.3214,0.3494,-0.704,0.294,28,28.4,False,False
F2 partial (ctrl domain built-up),elong_fd,rsrp_p10_4p,-0.202,0.301981,0.298756,0.4921,0.5258,-0.59,0.215,28,28.3,False,False
F2 partial (ctrl domain built-up),compact_fd,lst_abs,-0.303,0.116563,0.156488,0.3017,0.3624,-0.63,0.052,28,23.3,False,False
F2 partial (ctrl domain built-up),compact_fd,dlst_v3m,-0.129,0.51429,0.519812,0.6656,0.6931,-0.516,0.191,28,27.3,False,False
F2 partial (ctrl domain built-up),compact_fd,cov85_4p,-0.444,0.017857,0.02384,0.0655,0.0954,-0.703,0.008,28,25.7,False,False
F2 partial (ctrl domain built-up),compact_fd,rsrp_p10_4p,-0.455,0.015075,0.020563,0.0603,0.0905,-0.704,-0.008,28,25.6,False,False
F2 partial (ctrl domain built-up),elev_m,lst_abs,-0.46,0.012008,0.052442,0.0528,0.1923,-0.796,0.096,29,18.3,False,False
F2 partial (ctrl domain built-up),elev_m,dlst_v3m,-0.129,0.504369,0.559782,0.6656,0.7244,-0.476,0.324,29,22.7,False,False
