pair,block_deg,origin,n_blocks,n_seed_excl0,ci_lo_min,ci_lo_max,ci_hi_min,ci_hi_max,borderline
cover_dom_pct~lst_abs,0.1,+0.0,19,20,0.233,0.315,0.847,0.873,False
cover_dom_pct~lst_abs,0.1,+0.05,18,20,0.315,0.367,0.824,0.845,False
cover_dom_pct~lst_abs,0.15,+0.0,14,20,0.238,0.298,0.848,0.875,False
cover_dom_pct~lst_abs,0.15,+0.05,13,20,0.315,0.374,0.821,0.844,False
cover_dom_pct~lst_abs,0.2,+0.0,12,20,0.186,0.277,0.876,0.896,False
cover_dom_pct~lst_abs,0.2,+0.05,10,20,0.22,0.273,0.89,0.91,False
cover_dom_pct~cov85_4p,0.1,+0.0,19,0,-0.177,-0.07,0.719,0.772,False
cover_dom_pct~cov85_4p,0.1,+0.05,18,0,-0.093,-0.001,0.723,0.766,False
cover_dom_pct~cov85_4p,0.15,+0.0,14,0,-0.115,-0.038,0.75,0.78,False
cover_dom_pct~cov85_4p,0.15,+0.05,13,0,-0.227,-0.06,0.728,0.761,False
cover_dom_pct~cov85_4p,0.2,+0.0,12,0,-0.209,-0.133,0.763,0.799,False
cover_dom_pct~cov85_4p,0.2,+0.05,10,20,0.017,0.096,0.742,0.822,False
compact_fd~dlst_v3m,0.1,+0.0,19,0,-0.403,-0.357,0.204,0.271,False
compact_fd~dlst_v3m,0.1,+0.05,18,0,-0.512,-0.455,0.305,0.356,False
compact_fd~dlst_v3m,0.15,+0.0,14,0,-0.521,-0.443,0.261,0.33,False
compact_fd~dlst_v3m,0.15,+0.05,13,0,-0.433,-0.389,0.253,0.323,False
compact_fd~dlst_v3m,0.2,+0.0,12,0,-0.43,-0.381,0.28,0.325,False
compact_fd~dlst_v3m,0.2,+0.05,10,0,-0.561,-0.48,0.261,0.339,False
edge_den_m_ha~cov85_4p,0.1,+0.0,19,0,-0.102,-0.026,0.703,0.748,False
edge_den_m_ha~cov85_4p,0.1,+0.05,18,11,-0.026,0.032,0.709,0.738,True
edge_den_m_ha~cov85_4p,0.15,+0.0,14,20,0.066,0.121,0.694,0.733,False
edge_den_m_ha~cov85_4p,0.15,+0.05,13,0,-0.115,-0.008,0.671,0.713,False
edge_den_m_ha~cov85_4p,0.2,+0.0,12,0,-0.22,-0.128,0.72,0.77,False
edge_den_m_ha~cov85_4p,0.2,+0.05,10,20,0.137,0.203,0.648,0.719,False
