metric,target,rho,p,p_ess,p_perm,n,n_eff,ci_lo,ci_hi,p_boot,q,q_perm,q_ess,survive,survive_perm,survive_ess,survive_dual
built_dom_ha,lst_abs,0.607,0.00047768384163873956,0.0011535986078244358,0.001,29,25.4,0.202,0.834,0.0113,0.002547647155406611,0.005333333333333333,0.00671184644552399,True,True,True,True
built_dom_ha,dlst_v3m,0.497,0.00607260720428507,0.00607260720428507,0.0065,29,29.0,0.116,0.779,0.0167,0.020455097951276025,0.021894736842105262,0.025909790738282965,True,True,True,True
built_dom_ha,cov85_4p,0.472,0.009727438865670979,0.014377188289496677,0.0113,29,26.3,0.003,0.8,0.0487,0.03021607352638493,0.03287272727272727,0.04593636620739781,True,True,True,True
built_dom_ha,rsrp_p10_4p,0.354,0.059635579984963216,0.07301596039718727,0.0639,29,26.5,-0.185,0.735,0.1794,0.1272225706345882,0.13632,0.16113867122137882,False,False,False,False
cover_dom_pct,lst_abs,0.651,0.0001302190791931838,0.0003883878748014791,0.0001,29,25.3,0.273,0.864,0.004,0.0009530497390634852,0.0009142857142857144,0.004114069268878231,True,True,True,True
cover_dom_pct,dlst_v3m,0.56,0.0015950975701362847,0.0015950975701362847,0.0021,29,29.0,0.238,0.805,0.0033,0.007291874606337302,0.0096,0.008507187040726852,True,True,True,True
cover_dom_pct,cov85_4p,0.421,0.022899539686699878,0.03182729675557361,0.0231,29,26.1,-0.08,0.761,0.0867,0.05824468944522079,0.056861538461538456,0.07834411509064274,False,False,False,False
cover_dom_pct,rsrp_p10_4p,0.307,0.10532831492351535,0.12447811006233978,0.1036,29,26.3,-0.195,0.684,0.2454,0.19826506338544067,0.19501176470588236,0.2343117365879337,False,False,False,False
elong_fd,lst_abs,-0.121,0.5397748780510739,0.5686577909863698,0.533,28,24.5,-0.533,0.352,0.6142,0.683448274534696,0.6733803921568627,0.725314897562628,False,False,False,False
elong_fd,dlst_v3m,-0.023,0.906454685400237,0.906454685400237,0.9062,28,28.0,-0.48,0.418,0.8976,0.9421871195055113,0.9406,0.9468383505917867,False,False,False,False
elong_fd,cov85_4p,-0.325,0.09136988196456389,0.10953044498897678,0.0929,28,25.4,-0.706,0.156,0.1774,0.1772021953252148,0.18016969696969695,0.21242268119074284,False,False,False,False
elong_fd,rsrp_p10_4p,-0.241,0.21747898611149813,0.24170296017266685,0.2168,28,25.5,-0.597,0.165,0.2734,0.33138499536205585,0.33036190476190475,0.3597439407221088,False,False,False,False
compact_fd,lst_abs,-0.193,0.3245762890811887,0.37350593501464063,0.3222,28,23.3,-0.569,0.151,0.2614,0.46161961113769057,0.45824,0.5312084409097111,False,False,False,False
compact_fd,dlst_v3m,-0.065,0.7429479975729658,0.7438037494792209,0.7481,28,27.8,-0.495,0.325,0.7182,0.8645213062667239,0.8705163636363636,0.8655170903030934,False,False,False,False
compact_fd,cov85_4p,-0.361,0.05878175557160108,0.08168668020657335,0.0569,28,24.1,-0.69,0.104,0.1274,0.1272225706345882,0.12557241379310344,0.17283778813545508,False,False,False,False
compact_fd,rsrp_p10_4p,-0.406,0.03222457772327835,0.04817203582136316,0.033,28,24.2,-0.704,0.052,0.078,0.07638418423295609,0.07822222222222222,0.11418556639137935,False,False,False,False
edge_den_m_ha,lst_abs,0.635,0.0002833332400742115,0.0005739843638335863,0.0005,28,25.4,0.203,0.849,0.0133,0.0018133327364749537,0.0029090909090909093,0.004591874910668691,True,True,True,True
edge_den_m_ha,dlst_v3m,0.531,0.003639930821312581,0.003639930821312581,0.0049,28,28.0,0.195,0.787,0.002,0.013703268974353245,0.01742222222222222,0.017919659428000397,True,True,True,True
edge_den_m_ha,cov85_4p,0.447,0.017075430958449413,0.021069592531293504,0.0201,28,26.4,0.091,0.702,0.0133,0.0474283166021734,0.0536,0.0586284313914254,True,False,False,True
edge_den_m_ha,rsrp_p10_4p,0.341,0.07618602831034274,0.08588934698247651,0.0737,28,26.4,-0.04,0.594,0.0794,0.15728728425361083,0.15215483870967741,0.17283778813545508,False,False,False,False
patch_den,lst_abs,-0.047,0.8106138233901714,0.8137964447899984,0.8099,28,27.1,-0.371,0.337,0.7669,0.8970014207357375,0.8958896551724137,0.897982283906205,False,False,False,False
patch_den,dlst_v3m,-0.1,0.6109348925977056,0.6109348925977056,0.6071,28,28.0,-0.448,0.329,0.5909,0.7519198678125607,0.7472,0.7519198678125607,False,False,False,False
patch_den,cov85_4p,0.047,0.8129075375417621,0.8129075375417621,0.8119,28,28.0,-0.308,0.383,0.8383,0.8970014207357375,0.8958896551724137,0.897982283906205,False,False,False,False
patch_den,rsrp_p10_4p,0.235,0.22877412950669082,0.22877412950669082,0.2348,28,28.0,-0.181,0.567,0.2474,0.3327623701915503,0.34152727272727273,0.358393078339881,False,False,False,False
lps_pct,lst_abs,0.426,0.023661905087120946,0.02843312832280643,0.0213,28,26.4,0.134,0.682,0.0093,0.05824468944522079,0.054528,0.07582167552748381,False,False,False,False
lps_pct,dlst_v3m,0.479,0.009914649125845056,0.009914649125845056,0.0106,28,28.0,0.13,0.782,0.0073,0.03021607352638493,0.03287272727272727,0.03603442754587562,True,True,True,True
lps_pct,cov85_4p,0.051,0.7970534511584582,0.7995688887179143,0.7913,28,27.4,-0.383,0.413,0.8776,0.8970014207357375,0.8958896551724137,0.897982283906205,False,False,False,False
lps_pct,rsrp_p10_4p,-0.033,0.8693079191040287,0.870763538149143,0.8703,28,27.4,-0.541,0.446,0.8443,0.9408044587001976,0.93984,0.9445570583312738,False,False,False,False
elev_m,lst_abs,-0.62,0.000336214744983367,0.006710538815875925,0.0004,29,17.6,-0.882,-0.136,0.0227,0.0019561585162668625,0.00256,0.0268421552635037,True,True,True,True
elev_m,dlst_v3m,-0.289,0.12772071986393696,0.194608802981589,0.1251,29,21.7,-0.608,0.149,0.1901,0.23354645917977043,0.22844444444444445,0.3335407402634028,False,False,False,False
elev_m,cov85_4p,-0.021,0.912743772020964,0.9327822931633275,0.9127,29,18.2,-0.51,0.448,0.8389,0.9421871195055113,0.9406,0.9468383505917867,False,False,False,False
elev_m,rsrp_p10_4p,-0.029,0.8820041800314352,0.908530965117848,0.8811,29,18.4,-0.516,0.469,0.8403,0.9408044587001976,0.93984,0.9468383505917867,False,False,False,False
relief_m,lst_abs,-0.693,3.0668203762976745e-05,0.00044997632628355653,0.0002,29,21.3,-0.85,-0.394,0.0,0.0003271275068050853,0.0016,0.004114069268878231,True,True,True,True
relief_m,dlst_v3m,-0.268,0.15976591476433444,0.18378552384193714,0.1589,29,26.2,-0.527,0.058,0.102,0.27635185256533523,0.27485405405405405,0.3267298201634438,False,False,False,False
relief_m,cov85_4p,-0.767,1.2057595523079888e-06,3.184197348500657e-05,0.0001,29,21.9,-0.905,-0.568,0.0,2.5722870449237095e-05,0.0009142857142857144,0.0006792954343468068,True,True,True,True
relief_m,rsrp_p10_4p,-0.714,1.3533248182146349e-05,0.00017771872418880126,0.0001,29,22.2,-0.885,-0.371,0.0007,0.00017322557673147326,0.0009142857142857144,0.002274799669616656,True,True,True,True
slope_deg,lst_abs,-0.527,0.0033378872657631687,0.015072870161802405,0.0043,29,20.7,-0.791,-0.103,0.0133,0.013351549063052675,0.0172,0.04593636620739781,True,True,True,True
slope_deg,dlst_v3m,-0.131,0.49902385674802063,0.5292394739976121,0.4961,29,25.5,-0.475,0.241,0.4075,0.6517862618749657,0.6479673469387754,0.691251557874432,False,False,False,False
slope_deg,cov85_4p,-0.847,6.689434916152696e-09,1.0078541538162752e-06,0.0001,29,21.3,-0.934,-0.7,0.0,4.2812383463377253e-07,0.0009142857142857144,6.450266584424161e-05,True,True,True,True
slope_deg,rsrp_p10_4p,-0.832,2.1560810006778106e-08,2.05862011396762e-06,0.0001,29,21.5,-0.923,-0.616,0.0,6.899459202168994e-07,0.0009142857142857144,6.587584364696384e-05,True,True,True,True
southness,lst_abs,-0.139,0.47234016674594903,0.5214672756721438,0.4687,29,23.6,-0.612,0.351,0.5455,0.6297868889945987,0.6249333333333333,0.691251557874432,False,False,False,False
southness,dlst_v3m,-0.074,0.7022705973345814,0.7022705973345814,0.6984,29,29.0,-0.5,0.336,0.7469,0.8323207079520965,0.8279703703703704,0.8323207079520965,False,False,False,False
southness,cov85_4p,0.014,0.9410994992389226,0.9465216155302557,0.9406,29,24.3,-0.466,0.49,0.975,0.9431132541611607,0.9406,0.9468383505917867,False,False,False,False
southness,rsrp_p10_4p,0.246,0.19768835513267152,0.23970082899121933,0.2009,29,24.6,-0.173,0.634,0.2421,0.3159928190532337,0.31906341463414634,0.3597439407221088,False,False,False,False
ns_asym_m,lst_abs,-0.117,0.5446228437698359,0.5779853089952192,0.5366,29,24.8,-0.486,0.33,0.5722,0.683448274534696,0.6733803921568627,0.725314897562628,False,False,False,False
ns_asym_m,dlst_v3m,-0.075,0.6979538195810463,0.6979538195810462,0.6986,29,29.0,-0.446,0.327,0.6936,0.8323207079520965,0.8279703703703704,0.8323207079520965,False,False,False,False
ns_asym_m,cov85_4p,0.014,0.9431132541611607,0.9468383505917867,0.9388,29,25.6,-0.42,0.434,0.9543,0.9431132541611607,0.9406,0.9468383505917867,False,False,False,False
ns_asym_m,rsrp_p10_4p,0.234,0.22264929375888126,0.25193104064216876,0.226,29,25.9,-0.087,0.545,0.1747,0.33138499536205585,0.3363720930232558,0.36644515002497274,False,False,False,False
tsvf,lst_abs,0.528,0.0032309895380341447,0.010697720677681826,0.0039,29,22.4,0.079,0.778,0.0227,0.013351549063052675,0.01664,0.03603442754587562,True,True,True,True
tsvf,dlst_v3m,0.253,0.18585383443840534,0.1980398145313954,0.1907,29,27.6,-0.139,0.547,0.2021,0.31278642004593615,0.3154051282051282,0.3335407402634028,False,False,False,False
tsvf,cov85_4p,0.573,0.0011655083335973897,0.004176360914855079,0.0015,29,23.1,0.361,0.726,0.0,0.00573788718078715,0.0073846153846153844,0.019091935610766077,True,True,True,True
tsvf,rsrp_p10_4p,0.519,0.003928746512717878,0.010534445855190864,0.0049,29,23.3,0.23,0.694,0.0013,0.013968876489663567,0.01742222222222222,0.03603442754587562,True,True,True,True
