metric,target,rho,p,p_ess,n,n_eff,ci_lo,ci_hi,p_boot,q,q_ess,survive,survive_ess
built_dom_ha,lst_abs,0.607,0.00047768384163873956,0.0012281979745414103,29,25.2,0.217,0.844,0.0067,0.0022928824398659496,0.007369187847248462,True,True
built_dom_ha,dlst_v3m,0.497,0.00607260720428507,0.004242414053742879,29,31.3,0.107,0.779,0.0167,0.020820367557548812,0.016969656214971516,True,True
built_dom_ha,cov85_4p,0.472,0.009727438865670979,0.020693635050091357,29,23.7,-0.005,0.804,0.052,0.02918231659701294,0.05518302680024362,True,False
built_dom_ha,rsrp_p10_4p,0.354,0.059635579984963216,0.07136181397163885,29,26.8,-0.17,0.752,0.1834,0.12445686257731454,0.15577736071975493,False,False
elong_fd,lst_abs,-0.121,0.5397748780510739,0.5583777719597848,28,25.7,-0.533,0.334,0.6082,0.7402626898986157,0.7657752301162764,False,False
elong_fd,dlst_v3m,-0.023,0.906454685400237,0.9025105702815275,28,30.2,-0.491,0.428,0.9016,0.9505339809953043,0.9516034664579698,False,False
elong_fd,cov85_4p,-0.325,0.09136988196456389,0.08882132939157193,28,28.4,-0.712,0.141,0.1641,0.17543017337196268,0.17764265878314386,False,False
elong_fd,rsrp_p10_4p,-0.241,0.21747898611149813,0.21441566400298318,28,28.3,-0.59,0.158,0.2681,0.3599652183914452,0.36756970971939973,False,False
compact_fd,lst_abs,-0.193,0.3245762890811887,0.3737688525340353,28,23.3,-0.549,0.136,0.2608,0.5193220625299019,0.5787388684397966,False,False
compact_fd,dlst_v3m,-0.065,0.7429479975729658,0.7461962804493898,28,27.3,-0.495,0.299,0.6789,0.8293372996163341,0.8735956454041637,False,False
compact_fd,cov85_4p,-0.361,0.05878175557160108,0.07139795699655434,28,25.7,-0.701,0.121,0.1267,0.12445686257731454,0.15577736071975493,False,False
compact_fd,rsrp_p10_4p,-0.406,0.03222457772327835,0.04129326172969746,28,25.6,-0.714,0.033,0.07,0.08140945951144003,0.0991038281512739,False,False
elev_m,lst_abs,-0.555,0.0017717461899003789,0.01578575214800084,29,18.3,-0.847,-0.03,0.036,0.0070869847596015155,0.046610898529110774,True,True
elev_m,dlst_v3m,-0.279,0.1425948401844911,0.2002919450886079,29,22.7,-0.627,0.202,0.2528,0.25350193810576194,0.35607456904641405,False,False
elev_m,cov85_4p,0.065,0.7363723391719603,0.8018369630257909,29,17.2,-0.428,0.541,0.8469,0.8293372996163341,0.8747312323917719,False,False
elev_m,rsrp_p10_4p,0.064,0.7423062529436344,0.79254865934133,29,19.5,-0.438,0.544,0.8696,0.8293372996163341,0.8747312323917719,False,False
relief_m,lst_abs,-0.709,1.6449854151585237e-05,0.00019366668332307927,29,22.3,-0.861,-0.41,0.0,0.0001517690599969568,0.0018592001599015613,True,True
relief_m,dlst_v3m,-0.451,0.014000721300033414,0.0165080265623934,29,27.7,-0.689,-0.14,0.0107,0.0373352568000891,0.046610898529110774,True,True
relief_m,cov85_4p,-0.657,0.00010748755601016915,0.0012012589137625324,29,21.0,-0.807,-0.424,0.0,0.0007168819188353539,0.007369187847248462,True,True
relief_m,rsrp_p10_4p,-0.587,0.0008104129992165468,0.002709899596536333,29,23.7,-0.816,-0.265,0.0007,0.0035363476329449317,0.011825016421249453,True,True
slope_deg,lst_abs,-0.383,0.040097477863173595,0.08362734864676567,29,21.3,-0.723,0.067,0.082,0.09165137797296821,0.17452664065411966,False,False
slope_deg,dlst_v3m,-0.073,0.7064560673907619,0.7201551786494556,29,26.5,-0.469,0.353,0.6762,0.8293372996163341,0.8641862143793467,False,False
